DETAILED DELIVERY COMPARISON REPORT,December INSPIN,,,,
,,,,,
COMPILED,1/3/2012 0:00,,,,
,,,,,
SENT,12/15/2011,12/16/2011,12/19/2011,12/21/2011,12/30/2011
TYPE,Message,Message,Message,Message,Message
NAME,Inspin (weekly video),NFL Week 15,Inspin Monday Footie,Inspin video 2011-12-21,Inspin Vid 2011-12-30
SUBJECT,Who will win the 2011 Heisman Trophy Award? ,Who else wants more amazingly effective free picks?,This is the real deal in insider's information,"Dan ""The Man"" and Football Guru are duking it out",It's Friday and I have 2 gifts for you
 ,,,,,
SENT,302,294,292,316,343
DELIVERED,286,283,283,306,339
OPENS,44,44,51,61,75
CLICKS,16,14,17,18,13
TOTAL CLICKS,20,18,25,40,22
DELIVERY RATE,94.70%,96.30%,96.90%,96.80%,98.80%
OPEN RATE,15.40%,15.50%,18.00%,19.90%,22.10%
CLICK RATE,36.40%,31.80%,33.30%,29.50%,17.30%
CLICK THROUGH RATE,5.60%,4.90%,6.00%,5.90%,3.80%
AVERAGE CLICKS,1.25,1.29,1.47,2.22,1.69
 ,,,,,
 ,,,,,
UNDELIVERABLE,5.30%,3.70%,3.10%,3.20%,1.20%
HARD BOUNCES,4.00%,2.00%,1.00%,1.30%,0.90%
SOFT BOUNCES,1.30%,1.70%,2.10%,1.90%,0.30%
 ,,,,,
FORWARDS TO A FRIEND,0.00%,0.00%,0.00%,0.00%,0.00%
SOCIAL SHARES,0.00%,0.00%,0.00%,0.00%,1.30%
SOCIAL VIEWS,0,0,0,0,0
CONTACT UPDATES,0.00%,0.00%,0.00%,0.00%,0.00%
